Method,Child_Safe,Creative_Worker,Functionalist,Minimalist,Social_Host,Overall
4B ZeroShot,20.0%,21.7%,33.3%,10.0%,28.3%,22.7%
4B RagHistory,41.7%,65.0%,40.0%,61.7%,51.7%,52.0%
4B NaiveSummary,33.3%,61.7%,41.7%,66.7%,56.7%,52.0%
4B EPPS,41.7%,66.7%,25.0%,50.0%,48.3%,46.3%
30B ZeroShot,15.0%,28.3%,15.0%,16.7%,20.0%,19.0%
30B RagHistory,45.0%,81.7%,36.7%,73.3%,61.7%,59.7%
30B NaiveSummary,41.7%,58.3%,35.0%,76.7%,63.3%,55.0%
30B EPPS,61.7%,83.3%,43.3%,71.7%,53.3%,62.7%
235B ZeroShot,28.3%,13.3%,15.0%,16.7%,23.3%,19.3%
235B RagHistory,43.3%,73.3%,36.7%,80.0%,63.3%,59.3%
235B NaiveSummary,41.7%,56.7%,35.0%,76.7%,56.7%,53.3%
235B EPPS,68.3%,81.7%,48.3%,85.0%,50.0%,66.7%
